PolicyID,Name,Version,DateActive,EnforcedBy,Description,BlockchainHash
1001,Phishing Response,v2.9,2024-10-14,Hybrid,Phishing Response policy details and enforcement rationale.,322245b445a9c1ed263d58f4187f4f112eb1dab67409b6dced8c495ef5700bbc
1002,Phishing Response,v1.0,2025-02-02,Human,Phishing Response policy details and enforcement rationale.,4408bcf978f0eac093bae2cc83ec33233309f063b755e97bbef84ee37b2370b3
1003,Malware Defense,v2.10,2024-08-20,Human,Malware Defense policy details and enforcement rationale.,97a2ef35baa01bf3e1a0894609dcd45c294b60ca73d0f39aa73bdba7607dbc90
1004,Data Protection,v3.8,2025-01-17,Hybrid,Data Protection policy details and enforcement rationale.,7f11c9b4ea076e4b7ea4e39e16b11589e20b3b6178055924a348b8fefd5cd4a4
1005,Incident Response,v3.3,2024-07-21,AI,Incident Response policy details and enforcement rationale.,8d94ead456aea8e950916b26e58e0623cd516f4baeb5931126a7812791e67f11
1006,Access Control,v3.1,2024-08-22,AI,Access Control policy details and enforcement rationale.,03261b9151e3f6dab12a0c7ab8ece5e78d34b5376147ac47b5dec485950aab5d
1007,Phishing Response,v2.6,2024-08-21,Hybrid,Phishing Response policy details and enforcement rationale.,d6538d6b6480a3a5bb624fa967acc081f76e9e731c3133865fb2fe1c2a4cec6d
1008,Data Protection,v3.15,2025-04-23,Hybrid,Data Protection policy details and enforcement rationale.,389c11f71bc93b6f47faef9b0a68d9639bb29968072651f024b50323cbf4e4ac
1009,Access Control,v2.10,2025-05-12,Human,Access Control policy details and enforcement rationale.,f16bb1333ce789b18f7c19bd7429b282ff2b9a5801ebac7a38b0288698825ed0
1010,Access Control,v4.15,2024-08-18,Human,Access Control policy details and enforcement rationale.,f698daa2952b244a1778b527e457c525748a37b981fa2c9209c635c7a0b297a0
1011,Access Control,v2.1,2024-12-31,Human,Access Control policy details and enforcement rationale.,c71594f7ce046be5a5b1aeb3be369e867d98be479e5d2c2b6f2b00840f1067e2
1012,Phishing Response,v4.1,2025-04-27,Human,Phishing Response policy details and enforcement rationale.,7a040ba0d5fbd250dadc779e9e00c3415e0ee52952cc68b88bee05024160af68
1013,Access Control,v2.8,2025-06-30,Human,Access Control policy details and enforcement rationale.,a7c5aa5c6ca4d548e9385f5e2f58a546611256571a47dc05e82dbf40db1e8666
1014,Access Control,v3.2,2025-01-24,Human,Access Control policy details and enforcement rationale.,4ee7afd5feec7bb7c27933a5fd93aecc33072701f809460a04f2c574172f7d61
1015,Phishing Response,v2.10,2024-10-22,AI,Phishing Response policy details and enforcement rationale.,8803c1de3d02cdbc689d2a3673a0b50dd16d018973aaed1b70201ae5a3c1bac0
1016,Malware Defense,v4.8,2024-09-05,Hybrid,Malware Defense policy details and enforcement rationale.,44d0dee1092f4ff775a021e109170924e8e5045f635f2f7f1eb5493ce1015605
1017,Malware Defense,v4.14,2025-03-02,Hybrid,Malware Defense policy details and enforcement rationale.,9a620f2ccc296758a661db45ad97560ede177ba621d86814e6b6ca57a39ab578
1018,Malware Defense,v1.0,2025-01-22,Human,Malware Defense policy details and enforcement rationale.,e326164351f49a8fc7c08ef7b421d4e8171e59cbadcfb9f76298797afe8cb443
1019,Incident Response,v3.10,2025-06-08,Hybrid,Incident Response policy details and enforcement rationale.,3f378da041aa84a5fcad1fadc8ddcf204bd8c87f962225233a446ef6fd9512f2
1020,Phishing Response,v4.7,2024-08-17,Hybrid,Phishing Response policy details and enforcement rationale.,95535d7ec291c4d9ddec3ec5ce3aa3e4ca2c356e71d3e7b0bfda797be05c2c3c
1021,Malware Defense,v2.1,2024-11-01,AI,Malware Defense policy details and enforcement rationale.,54bc796aed407602171326445af36f2dace2e45a3d86b56f3d111ddfe89c04ee
1022,Incident Response,v3.13,2025-02-24,Human,Incident Response policy details and enforcement rationale.,46cea17194dde6b8ea53d0bfc556c4cefdd906df33a2c8aa009d7eabdcb686ca
1023,Malware Defense,v3.10,2024-09-05,AI,Malware Defense policy details and enforcement rationale.,f850dd7bcde1cd115a6f5c7e32b62fb0db2691e4e899944b91752c52ed65d068
1024,Data Protection,v3.1,2025-05-04,Human,Data Protection policy details and enforcement rationale.,ad6bbec240a597f55e2c59917666b6583fc46560f81922677ac627c449529872
1025,Malware Defense,v2.3,2025-04-11,AI,Malware Defense policy details and enforcement rationale.,467d9a2b3fdaf9cf99f4da8a24193b7c06f189dd6753b032fc0c298361c1493f
1026,Data Protection,v4.0,2024-12-29,Human,Data Protection policy details and enforcement rationale.,0ffd8652f8452e9717fcf6ae3d43ab551c28b44ea2147dbf734f9a343b972d86
1027,Incident Response,v4.1,2025-02-25,Hybrid,Incident Response policy details and enforcement rationale.,bf3e4ab6a609b5021edc7682e396a2878597cb6fe431fe422c9b952c98f2c58e
1028,Phishing Response,v3.9,2025-03-09,Human,Phishing Response policy details and enforcement rationale.,baa7323810c0ca23b61875f5ed0a6be2a3542659ff1072eec43432671075dbdf
1029,Access Control,v1.3,2024-08-03,Human,Access Control policy details and enforcement rationale.,0dcabdd9567dd4f2ef170ad84c8d63043bfddf4c5ab39b3b92c6d68c973c788a
1030,Phishing Response,v4.12,2024-12-12,Human,Phishing Response policy details and enforcement rationale.,cba6f48bec52a5aa76606d7df08817b5199fc1cc9f36ddf218de24d13ffebd2a
